Zip,LessThan10K,MoreThan10K,MoreThan25K,MoreThan50K 
93428,0.17,0.25,0.23,0.35
93430,0.19,0.25,0.25,0.31
93432,0.17,0.22,0.28,0.33
93433,0.18,0.29,0.28,0.25
93434,0.22,0.42,0.25,0.11
93436,0.16,0.26,0.27,0.31
93437,0.11,0.34,0.37,0.18
93438,0.13,0.34,0.31,0.21
93440,0.14,0.25,0.27,0.34
93441,0.19,0.16,0.23,0.43
93442,0.18,0.28,0.27,0.28
93443,0.18,0.31,0.28,0.22
93444,0.18,0.23,0.25,0.34
93445,0.19,0.36,0.29,0.16
93446,0.17,0.24,0.25,0.34
93447,0.15,0.26,0.29,0.3
93448,0.13,0.26,0.31,0.3
93449,0.16,0.2,0.23,0.41
93450,0.19,0.36,0.28,0.18
93451,0.19,0.29,0.28,0.25
93452,0.2,0.37,0.29,0.14
93453,0.16,0.24,0.29,0.3
93454,0.18,0.29,0.28,0.25
93455,0.17,0.19,0.22,0.42
93456,0.16,0.41,0.27,0.17
93457,0.12,0.18,0.3,0.4
93458,0.23,0.42,0.24,0.1
93460,0.17,0.2,0.21,0.42
93461,0.15,0.32,0.34,0.19
93463,0.17,0.18,0.2,0.45
93464,0.13,0.32,0.3,0.25
93465,0.17,0.18,0.22,0.42
93483,0.17,0.36,0.27,0.19
93501,0.24,0.28,0.26,0.22
93502,0.18,0.2,0.3,0.32
93504,0.16,0.19,0.28,0.38
93505,0.16,0.2,0.28,0.36
93510,0.14,0.14,0.18,0.54
93512,0.18,0.34,0.29,0.19
93513,0.16,0.27,0.28,0.29
93514,0.2,0.24,0.25,0.32
93515,0.19,0.29,0.23,0.29
93516,0.21,0.23,0.2,0.36
93517,0.13,0.41,0.25,0.21
93518,0.17,0.23,0.27,0.33
93523,0.07,0.24,0.39,0.29
93526,0.2,0.19,0.29,0.33
93527,0.17,0.22,0.22,0.4
93529,0.17,0.36,0.23,0.24
93531,0.13,0.12,0.2,0.55
93532,0.13,0.18,0.24,0.44
93534,0.19,0.3,0.28,0.23
93535,0.19,0.28,0.28,0.26
93536,0.17,0.18,0.21,0.44
93539,0.13,0.27,0.28,0.32
93541,0.22,0.29,0.25,0.25
93543,0.18,0.25,0.29,0.28
93544,0.13,0.19,0.24,0.44
93545,0.23,0.27,0.25,0.26
93546,0.16,0.32,0.27,0.25
93549,0.14,0.27,0.32,0.27
93550,0.19,0.3,0.28,0.23
93551,0.15,0.15,0.19,0.51
93552,0.15,0.23,0.3,0.33
93553,0.16,0.21,0.24,0.39
93555,0.17,0.22,0.22,0.39
93556,0.12,0.2,0.27,0.41
93560,0.15,0.22,0.28,0.35
93561,0.16,0.18,0.21,0.45
93562,0.23,0.19,0.24,0.34
93581,0.14,0.21,0.23,0.42
93584,0.21,0.31,0.26,0.22
93586,0.15,0.2,0.14,0.51
93590,0.15,0.25,0.32,0.28
93591,0.21,0.27,0.3,0.23
93592,0.17,0.16,0.35,0.32
93601,0.21,0.26,0.26,0.27
93602,0.19,0.22,0.25,0.34
93604,0.22,0.22,0.26,0.3
93605,0.14,0.12,0.14,0.6
93606,0.31,0.49,0.15,0.05
93608,0.22,0.54,0.21,0.03
